datetime_fin,datetime_ini,sequence,track_id,track_speed,trap_speed
2022-09-13 00:02:06.000,2022-09-13 00:01:56.500,20220913-000000,moose22_c2200_20220913-000156-2-32,66.19867245017218,-0.1754385964910685
2022-09-13 00:05:36.500,2022-09-13 00:05:34.000,20220913-000000,moose22_c2200_20220913-000534-1-47,20.831366804719483,0.26666666666869787
2022-09-13 00:09:08.000,2022-09-13 00:08:53.000,20220913-000000,moose22_c2200_20220913-000853-1-53,75.49509336020591,0.02222222222220201
2022-09-13 00:09:37.500,2022-09-13 00:09:23.500,20220913-000000,moose22_c2200_20220913-000923-2-59,7.3348997389829185,-0.07142857142850646
2022-09-13 01:06:52.000,2022-09-13 01:06:45.000,20220913-010000,moose22_c2200_20220913-010645-1-8,-75.83338773917694,-0.28571428571402585
2022-09-13 01:09:14.000,2022-09-13 01:09:00.000,20220913-010000,moose22_c2200_20220913-010900-1-18,-45.93139699964517,0.023809523809502155
2022-09-13 01:13:49.000,2022-09-13 01:13:37.000,20220913-010000,moose22_c2200_20220913-011337-1-24,-108.5917620559556,0.19444444444426762
2022-09-13 01:14:34.000,2022-09-13 01:14:31.000,20220913-010000,moose22_c2200_20220913-011431-1-39,-130.8188334045625,-0.33333333333303017
2022-09-13 01:15:05.000,2022-09-13 01:14:59.000,20220913-010000,moose22_c2200_20220913-011459-1-47,-15.152006173803027,-0.16666666666651508
2022-09-13 01:15:24.000,2022-09-13 01:15:08.000,20220913-010000,moose22_c2200_20220913-011508-1-58,-29.322259839793645,-0.10416666666657193
2022-09-13 01:15:34.000,2022-09-13 01:15:25.500,20220913-010000,moose22_c2200_20220913-011525-2-78,-41.20437844849289,0.07843137254894827
2022-09-13 01:15:44.000,2022-09-13 01:15:34.500,20220913-010000,moose22_c2200_20220913-011534-2-89,-43.7379819643885,-0.10526315789464111
2022-09-13 01:16:21.000,2022-09-13 01:16:11.000,20220913-010000,moose22_c2200_20220913-011611-1-108,132.29779866458136,-0.06666666666660603
2022-09-13 01:23:34.000,2022-09-13 01:23:20.000,20220913-010000,moose22_c2200_20220913-012320-1-127,76.35549212735461,-0.11904761904751077
2022-09-13 01:23:39.000,2022-09-13 01:23:35.000,20220913-010000,moose22_c2200_20220913-012335-1-145,-166.15401599224785,-0.08333333333396808
2022-09-13 02:08:15.000,2022-09-13 02:08:05.000,20220913-020000,moose22_c2200_20220913-020805-1-15,-22.976955504096946,0.03333333333330302
2022-09-13 02:08:20.000,2022-09-13 02:08:16.000,20220913-020000,moose22_c2200_20220913-020816-1-28,-32.331868478532435,-0.24999999999977263
2022-09-13 02:20:18.000,2022-09-13 02:20:03.000,20220913-020000,moose22_c2200_20220913-022003-1-66,-40.11667344850822,0.0
